# Removed overlapping spots
74.000000 563.488649 4.600993
596.000000 372.000000 5.011369
776.000000 131.706950 5.181302
642.000000 116.824329 5.038374
648.000000 532.000000 4.370071
136.427482 573.902468 4.776483
328.000000 342.142943 4.841044
679.232776 340.956121 4.868285
363.000000 121.233443 5.296280
515.434282 819.982417 5.004205
422.438235 756.178026 4.909616
283.741315 106.012439 4.718952
73.575247 127.175388 4.889488
94.433084 542.484861 4.219702
353.460065 600.000000 4.845580
497.298392 122.000000 4.453315
115.571967 563.491405 4.651410
786.486566 99.872376 4.386097
220.329658 574.336596 4.817686
395.588133 591.000000 5.231261
684.000000 106.394349 4.184521
456.000000 69.000000 5.415289
631.268835 86.214632 4.939870
72.638219 574.314860 4.228038
167.746648 553.875575 4.678574
890.432722 58.227645 4.359032
809.879061 352.166864 3.857103
789.398453 321.352509 4.337466
920.908462 132.000000 3.850770
506.000000 788.000000 4.628695
307.749578 819.407898 4.821303
127.000000 606.000000 4.776887
454.000000 352.577504 4.693359
519.000000 121.827748 4.966603
817.669065 68.000000 4.508802
799.963582 598.000000 5.023718
499.110138 558.000000 3.975161
220.000000 636.414311 4.640219
436.527900 568.000000 5.079814
349.673905 373.482858 4.430618
922.623333 763.670853 4.251819
338.730354 819.656927 4.494646
821.000000 576.000000 4.591318
74.000000 75.000000 4.142019
199.005406 584.723079 4.253470
485.239273 756.687053 5.269488
699.447595 361.997726 4.450318
209.462187 542.565560 4.463652
138.000000 75.000000 4.734798
282.670089 542.707764 4.617128
800.353482 565.454116 4.483311
447.320526 526.700281 5.044504
329.730532 89.685057 4.044741
209.000000 297.000000 4.916158
839.486367 122.000000 4.953749
725.674876 117.452311 4.925834
342.000000 695.000000 4.510667
751.000000 754.780452 4.373569
606.245126 309.899694 4.916783
810.460770 534.000000 4.100636
127.000000 136.823012 4.745301
391.468771 342.122571 4.821139
692.959619 126.860550 4.523304
541.436211 574.421736 4.365767
443.000000 810.000000 4.907827
933.453858 817.867786 4.884238
284.006032 63.854350 4.585012
478.517632 569.328672 4.825883
731.225304 362.532431 5.081076
476.656337 132.225000 4.526981
189.000000 780.389124 4.212557
676.576679 786.074094 4.483547
977.143416 351.249823 4.599482
657.000000 554.000000 3.850770
758.325991 116.499774 4.827640
903.584310 290.000000 5.290748
606.000000 289.684364 5.620573
156.636612 553.521943 4.185645
198.000000 298.000000 4.677749
741.000000 289.000000 5.047500
967.175824 586.964136 4.511534
615.560623 574.000000 4.792197
871.132394 818.000000 4.605009
73.000000 359.169757 4.866503
364.238893 600.000000 4.644474
272.293591 574.000000 4.743133
261.282373 554.000000 4.929748
606.000000 361.516845 3.745738
349.434553 787.289613 4.755882
261.592994 791.000000 3.772780
158.000000 117.000000 5.142447
799.000000 300.294929 4.562467
432.719321 310.656849 4.416330
726.589707 85.038176 3.067722
464.071501 756.878535 4.783341
495.000000 821.000000 5.151435
595.000000 299.000000 3.740768
594.000000 807.307326 4.233176
272.651730 823.000000 4.246057
699.562694 309.877215 4.918452
137.702343 53.473253 3.613363
157.147285 574.346048 4.476415
230.000000 298.000000 4.404784
821.516041 554.000000 4.718779
444.000000 311.000000 4.446797
954.000000 775.000000 4.577895
990.000000 680.000000 4.586779
988.557368 586.620663 3.876036
209.859384 349.830520 4.782387
496.000000 342.000000 4.442503
252.000000 53.379035 4.592288
458.000000 580.000000 4.780446
517.158174 756.000000 4.926772
731.000000 300.000000 5.046608
585.079670 372.280820 4.903195
443.425397 777.168559 4.637241
966.585741 321.537999 4.365949
464.010785 290.422164 4.830092
976.685246 290.134238 4.938522
433.652026 829.935626 4.037445
936.000000 534.000000 3.542036
852.000000 555.215964 4.091369
543.101794 320.146096 4.951699
947.000000 598.000000 3.965615
147.202726 307.937006 4.208350
789.535200 352.000000 4.117220
945.506481 289.404190 3.879335
894.617404 628.450102 4.493146
988.000000 565.201456 3.983790
884.000000 554.000000 3.107902
611.299011 74.683559 4.016795
954.000000 58.000000 4.238532
957.023047 587.418256 4.401356
84.729526 85.074394 3.666624
652.854063 85.372342 4.112313
402.000000 777.124876 4.378400
454.183585 809.567456 4.245183
457.616161 703.979997 3.633491
384.000000 548.000000 4.574208
369.972675 820.022267 4.699650
786.000000 69.000000 4.764627
779.629065 607.000000 3.877344
414.000000 69.000000 4.479293
880.619393 101.459558 4.890352
413.995121 58.443070 4.951699
831.000000 310.983663 4.398622
187.841553 308.181027 4.294837
586.000000 351.274740 5.078578
593.831257 585.203306 4.488803
740.781423 817.623789 4.434700
615.560022 912.022281 3.865124
540.555082 817.000000 3.977903
553.000000 361.085725 4.842167
363.745296 580.000000 4.791803
496.000000 364.000000 4.363147
339.000000 787.392315 4.364436
986.531930 764.120103 5.182293
893.337958 310.590994 4.653937
626.955130 309.721732 3.996126
922.790603 817.100849 4.522207
694.227486 116.354781 5.303538
698.529570 574.214642 4.874117
313.000000 621.295933 3.147565
664.429712 116.526962 5.084938
698.000000 817.000000 3.924167
923.024934 786.015642 5.295846
945.991289 321.349806 3.770822
478.467319 557.767186 4.660994
797.000000 847.165568 4.952091
688.559762 330.680095 4.612597
973.330399 101.590977 3.057865
625.460923 765.506296 3.538502
127.283656 542.408927 4.774294
987.577281 300.727443 4.495805
967.000000 565.476372 3.379919
198.632939 308.615227 5.016767
231.071072 116.418135 5.186412
636.000000 596.014300 4.608654
148.480985 780.557567 4.046659
810.000000 586.594333 4.499230
307.154232 830.000000 5.092676
663.297508 74.273468 4.974059
616.747003 310.000000 4.551352
848.800459 91.048918 4.274639
967.523329 555.117608 4.142778
872.536529 300.264388 4.286564
179.000000 116.813639 3.448871
219.429089 542.805468 3.448287
809.960321 321.000000 3.922839
880.914066 774.908267 4.434724
956.347086 300.333235 4.487760
893.908780 566.051198 4.067811
583.341070 595.772797 4.421611
381.000000 777.000000 4.706991
485.590713 809.423743 4.786331
360.158764 353.000000 4.910577
381.301749 301.000000 4.439106
426.619070 579.908940 5.045024
517.322312 300.924804 4.448331
595.510614 532.365620 5.143217
198.670730 542.467292 4.337865
905.000000 817.807899 3.231601
486.000000 830.054223 3.864613
272.687426 596.000000 3.042769
590.204318 136.922869 4.170509
684.406399 63.391552 4.472800
873.060587 587.000000 4.331424
683.930799 116.704647 5.348018
562.000000 807.561546 4.191407
474.545930 301.320916 4.344764
506.000000 311.248767 4.468766
862.429851 300.578566 4.287427
393.330933 132.070513 4.285373
625.417081 807.441722 4.656972
433.000000 290.086755 5.086387
842.103949 534.413203 4.982219
262.346471 75.716744 4.979758
423.823356 102.025191 3.577374
516.803192 810.000000 3.733414
585.000000 340.359082 4.424901
645.989741 817.955052 4.580925
849.000000 69.460239 4.485202
966.225850 290.000000 3.926291
73.000000 542.000000 5.179026
594.171613 828.119801 3.719949
830.752033 920.762378 5.019785
894.238035 523.723026 4.340552
83.000000 843.000000 3.823613
198.599779 791.111988 3.854317
740.000000 807.281553 4.455594
977.496777 544.577192 4.101925
921.939844 80.482313 3.622035
318.000000 373.857775 4.154271
757.498278 106.125288 4.426952
984.561770 69.944390 5.082196
778.325479 342.000000 4.217141
989.803545 575.740280 3.080461
704.654608 117.000000 4.228581
841.012131 352.053999 4.364091
412.378764 352.631761 4.514520
831.229407 565.041342 4.097536
307.306924 809.120879 4.247267
433.184131 332.000000 4.292924
340.000000 131.454508 4.429792
94.713318 564.017031 4.277147
189.499557 74.450871 3.090169
569.001526 85.050818 4.454130
219.926553 532.517224 4.701249
542.855191 350.711349 4.626373
753.000000 310.307754 5.132871
787.000000 817.000000 4.637112
73.314063 553.160081 4.570638
392.037932 301.001743 4.688374
485.164964 820.000000 4.604313
709.505766 299.000000 4.187733
730.000000 596.000000 4.376799
863.000000 555.303788 3.963933
94.652438 84.257717 5.954679
401.942318 766.203888 4.346788
486.000000 58.827898 3.942492
775.290093 110.731700 3.831646
339.186876 777.055515 4.573512
198.234734 780.000000 3.880614
564.395740 542.065648 4.463348
719.685373 574.849513 5.221471
454.770242 90.107862 3.921813
402.123920 809.389870 4.681094
467.738017 539.000000 4.736870
306.610078 363.072224 4.598928
647.000000 807.000000 3.793553
220.559761 85.000000 4.773090
708.896929 775.618492 4.019704
517.000000 353.000000 4.783853
307.000000 300.000000 5.894724
446.922454 557.401788 3.218695
209.000000 780.541380 3.376947
424.000000 90.955200 4.003222
506.629139 363.203775 4.581392
84.545765 74.549558 3.484927
93.000000 823.000000 4.102374
475.000000 120.804379 4.925621
495.000000 767.000000 4.533548
241.000000 822.657129 4.491213
758.895683 155.361064 5.425341
422.725831 289.959783 4.348372
890.464322 101.600220 4.256905
622.037417 74.573674 5.008061
621.066690 106.072466 4.502722
872.150041 352.086943 4.357159
594.353930 818.000000 4.580463
168.151395 813.155559 3.726975
553.011293 754.624053 4.669593
910.893176 69.000000 4.887504
156.739187 780.489628 3.553997
616.306932 289.469518 4.196752
646.695043 764.819332 4.148613
613.930825 786.004880 4.329777
497.000000 80.724842 4.293773
925.009305 555.159347 4.469886
719.848813 299.293513 3.420230
750.930978 585.485720 4.563199
988.279766 554.489281 4.044913
974.521211 69.363074 5.212545
445.000000 58.000000 4.761245
146.724204 759.625133 3.931307
115.575196 574.000000 4.450673
168.596767 595.000000 4.985898
892.318189 773.870665 4.642330
401.000000 798.420589 3.866264
447.000000 569.000000 4.852169
924.719804 311.223148 4.311965
199.170615 532.975645 4.305036
284.457879 116.562101 3.772609
542.196409 585.000000 4.298819
796.632147 90.410191 4.551353
778.232471 597.509174 4.711960
752.161923 299.648557 4.830702
359.533232 787.877161 4.582550
787.129901 132.013930 4.895038
924.887366 587.156165 4.606443
495.000000 798.636139 4.063301
137.000000 85.291285 4.362221
218.944353 563.810399 3.815876
594.100049 595.932653 4.351237
797.126320 132.606463 4.285981
543.092028 371.993523 4.898995
240.000000 349.000000 4.474929
879.580493 58.149484 4.309427
977.396553 362.879779 3.754375
894.518710 555.000000 4.180743
115.296421 542.301451 4.009516
505.291914 798.937620 4.799517
105.716261 574.420722 3.400380
710.372657 361.966580 5.102486
953.206608 68.750555 4.283379
924.061651 332.177179 4.405772
447.209330 673.825839 3.779101
178.362293 553.348105 4.441673
518.000000 58.534649 3.746318
658.440539 361.613188 4.701719
697.972538 807.152564 4.554823
832.053359 607.988764 3.998013
853.109502 534.444249 4.514697
873.934508 555.442104 3.889939
271.000000 769.603504 3.638036
241.996016 116.302436 4.147772
338.834054 320.850925 4.432604
104.835975 318.396832 4.322710
883.000000 331.459970 3.804663
105.026406 563.904094 4.743706
