# Removed overlapping spots
515.748380 776.962057 4.667940
688.000000 289.000000 5.357349
363.000000 579.000000 4.621917
84.321355 127.000000 4.352215
657.000000 553.000000 4.432631
808.625485 351.000000 4.323753
318.000000 351.178218 4.772444
260.662826 553.316622 4.433798
168.000000 85.926040 4.604984
197.655936 308.000000 5.049733
415.000000 548.000000 4.913868
94.000000 318.000000 4.459290
517.000000 121.000000 4.709447
605.000000 552.000000 3.845875
474.000000 351.000000 4.689929
710.000000 310.000000 5.233593
651.707536 74.000000 4.663468
348.000000 777.472571 3.930588
219.352314 532.000000 4.828301
136.895590 95.762351 4.443263
698.000000 754.000000 4.628873
156.255436 348.417816 4.150847
178.636140 85.302818 4.725524
940.098525 121.195296 4.683727
219.304772 573.861222 4.411159
751.000000 361.000000 4.888215
401.464549 787.843149 4.748263
432.280523 787.735467 4.634485
240.095086 595.123251 4.789474
542.000000 371.567593 4.615657
720.332953 552.999898 4.286911
889.599272 68.506003 4.592646
260.771696 349.000000 4.426873
605.000000 309.553033 4.585919
516.000000 310.629397 4.335775
126.462825 74.562366 4.718191
432.235525 766.219553 3.969352
923.687778 299.561778 4.507719
338.000000 933.316230 4.422485
698.000000 585.334105 4.599512
166.701202 308.206778 4.984690
93.723830 605.023954 4.569440
786.534650 816.564888 5.301814
973.000000 69.000000 4.150223
933.584331 351.438620 4.245252
103.377188 553.000000 4.267854
499.001282 537.729793 4.907853
282.799110 105.722551 4.545193
197.409983 791.060580 4.436603
740.352097 309.000000 4.556908
563.717676 552.279678 4.542116
306.939979 341.265347 4.578021
698.453359 309.554113 4.758030
828.500803 79.650987 5.143747
319.000000 131.000000 4.381513
462.476788 776.605607 3.094470
474.000000 809.000000 4.321566
422.000000 331.578849 4.373725
167.578185 594.388349 4.263199
426.279558 578.924890 4.890966
484.614115 756.000000 4.876621
125.675612 780.000000 3.572725
433.000000 310.000000 3.217011
443.722755 394.000000 3.939380
739.239419 817.040868 4.229558
318.000000 111.433577 3.685689
542.264950 320.134153 4.833426
401.683868 79.544191 3.982901
435.918820 567.884158 4.784394
872.510816 585.554425 4.408407
147.000000 780.000000 3.699262
718.000000 807.405065 3.988272
209.489891 116.404627 3.500834
922.000000 763.539042 4.244436
474.645823 787.000000 4.308642
922.552660 786.087411 5.419106
665.895936 806.816603 4.631081
338.000000 351.391576 4.624394
369.353901 819.545800 5.002185
402.000000 818.755596 4.455919
730.469380 309.497484 3.664571
516.092546 300.548634 4.007964
360.502937 121.304547 5.228627
157.000000 116.329698 4.738272
436.168136 526.803806 4.481894
625.653708 542.995393 4.553680
401.531118 808.438376 4.245377
453.198944 351.412214 4.909140
740.000000 574.000000 4.822120
752.114172 542.418081 4.818821
281.976218 63.575396 4.071002
952.000000 69.000000 4.428939
720.000000 522.246376 4.756355
869.225767 68.894326 4.841410
605.433123 288.902405 4.693594
806.768943 120.392757 4.771297
390.662923 311.160080 4.359116
219.000000 126.246504 4.926516
577.973495 74.409837 4.215348
942.440802 816.207883 5.011157
157.642547 533.000000 3.268937
541.000000 785.886466 4.128258
585.000000 350.461574 4.713355
941.625186 68.827531 4.596349
380.342305 819.339139 4.607046
749.789019 775.000000 4.665633
348.952957 809.050651 5.042835
423.000000 121.000000 3.891090
893.645324 523.291109 3.619122
984.000000 69.000000 4.684718
686.000000 786.000000 4.262425
349.251447 80.538008 3.978123
573.534650 563.422958 3.326013
708.151733 775.290218 3.967139
551.726928 595.779030 4.698240
432.639261 321.366103 4.344448
395.000000 589.524479 4.700291
851.432887 586.319814 4.111536
698.613645 340.678780 4.096356
495.525800 310.788844 4.430808
478.000000 537.353458 4.455011
73.740194 563.464537 4.380534
136.967752 74.683042 4.766770
893.000000 311.000000 4.931070
655.192154 775.225897 4.189796
910.000000 122.243141 4.497157
645.000000 817.000000 4.449518
563.459403 361.302036 4.994286
635.636973 816.755059 4.425363
605.661432 542.378566 4.484561
614.229975 806.698102 4.469314
697.716501 596.236659 4.342324
985.000000 763.617304 4.030632
963.128338 69.015057 4.206679
913.334808 300.000000 4.100609
94.000000 105.737289 3.971984
167.363304 779.836657 3.506450
370.000000 798.000000 3.799924
697.925475 573.782774 4.662514
423.000000 819.474051 4.953073
105.000000 822.000000 3.591919
595.198599 542.741860 4.889667
177.725547 522.000000 4.353516
485.322564 321.150168 4.283385
187.942582 74.512540 4.842445
541.000000 775.000000 4.009195
135.942381 552.930346 4.428794
208.969965 125.971244 4.184401
520.197215 547.963147 4.736683
889.923719 773.580285 4.376661
505.909348 69.167632 3.946260
985.604423 858.000000 4.178187
858.959935 80.335278 4.334648
641.358837 85.056938 3.263649
636.499772 553.236456 4.690440
95.333281 84.985250 4.318891
817.000000 775.000000 4.050016
688.726633 532.215435 4.481902
136.196413 573.981410 4.310056
699.000000 541.830214 4.846962
135.668246 594.205249 4.571359
883.000000 289.813089 4.381242
987.901280 585.531678 3.257076
84.352302 595.000000 4.793102
261.000000 821.621735 4.815798
338.470827 787.379446 4.445233
849.865010 816.788483 4.304051
239.591186 532.312206 3.945111
126.583171 136.488990 4.594245
426.000000 516.543187 4.914377
641.142278 116.000000 5.060848
687.899011 553.000000 4.255869
986.403507 679.436445 4.546667
146.380940 563.447866 3.903669
317.866265 321.074377 4.676372
329.026234 130.762004 4.278105
463.424215 310.580290 4.332250
474.000000 819.570237 4.602374
552.000000 361.287813 5.042828
552.699960 552.558792 4.685719
370.130972 320.892125 4.497747
176.640933 348.787397 4.495815
453.000000 321.000000 4.418690
924.170237 585.723432 4.550450
352.000000 526.709860 4.482565
889.615021 57.637286 4.474072
495.000000 820.000000 5.103872
973.369998 121.000000 4.066571
789.000000 554.711991 4.293707
699.220660 362.281869 3.972805
725.699237 116.101429 4.875989
945.000000 565.000000 4.140779
187.876498 521.547813 4.005636
363.702570 558.129200 4.526440
432.748709 776.801205 3.744935
592.950330 818.038857 4.602601
687.623505 299.678388 3.871559
572.000000 785.243107 4.358895
920.239675 89.974185 4.738444
168.306793 116.335752 4.276490
561.469533 806.636524 3.546677
573.410873 319.669296 4.306398
710.015216 542.340394 4.444347
353.054286 599.859800 4.286912
384.191016 527.397379 5.270818
709.440951 361.488350 4.682635
551.745155 828.023212 3.883666
740.157319 288.795418 4.936651
819.828325 341.045658 3.606986
250.276636 542.954595 4.269401
73.231123 126.290354 5.182874
114.422804 370.000000 3.850257
635.000000 786.157424 3.608546
198.408188 532.444664 4.105673
977.385256 565.464054 3.685595
436.415133 631.215398 4.008942
381.053878 341.461989 4.684249
729.915822 340.000000 4.197932
520.000000 568.473111 5.056611
775.577407 80.000000 4.299191
828.000000 816.460449 4.439075
145.974535 760.000000 3.989972
925.000000 544.668125 3.819196
463.785996 756.283588 4.654082
81.980113 843.000000 3.974718
505.571938 300.469983 4.288271
852.000000 534.000000 3.986382
73.363994 318.389410 3.766436
882.658186 320.877214 3.963701
775.262264 120.762497 3.340439
986.834692 299.992999 3.648402
379.892176 776.600722 4.458725
614.000000 774.000000 3.734619
682.394142 116.000000 5.236795
395.030406 526.856712 4.843056
327.353410 787.990861 5.176409
462.929208 300.553969 4.374262
488.713344 516.671637 4.900200
625.737499 319.997884 4.761431
730.515287 361.280675 4.595249
104.543482 318.888166 4.508003
239.620889 583.760484 4.721250
416.000000 568.000000 4.584498
250.410317 521.792030 4.695521
457.000000 703.702370 3.581061
587.937684 75.008940 4.708710
187.676497 553.035150 4.286895
411.685673 819.000000 4.746535
442.000000 766.390401 4.133431
412.140639 68.650939 4.484310
