# Removed overlapping spots
457.000000 71.000000 4.971569
191.959645 545.000000 5.214413
242.000000 523.908481 4.679018
895.725905 775.482158 5.377731
906.000000 291.000000 4.448159
742.802329 576.000000 5.129325
523.368052 570.000000 4.919116
597.000000 787.000000 4.594703
876.000000 353.000000 5.030496
138.456134 576.028525 5.108235
181.189832 87.289572 5.170993
944.000000 122.834373 5.092553
895.249948 122.716959 5.465270
170.034275 119.000000 5.041667
418.720976 549.645950 4.594905
723.257814 523.147416 5.150997
99.000000 835.421889 4.770747
179.349861 310.000000 4.954695
76.000000 814.432684 4.365010
728.715431 118.122628 5.572621
263.500493 119.018291 5.133949
863.352188 122.000000 4.668155
322.384756 353.830612 5.383512
373.000000 789.460764 4.696121
449.394022 518.275525 5.070621
398.000000 592.000000 4.717447
968.327790 587.000000 5.123945
884.522326 818.886157 4.645674
618.000000 807.847175 4.596654
586.255660 787.000000 4.430563
928.871675 535.800484 4.933270
190.876777 352.186842 5.026574
586.895159 321.246196 4.672709
416.000000 71.000000 3.780019
560.739887 117.796741 4.856985
97.000000 361.753130 5.033358
383.920269 810.413168 4.675594
989.000000 807.421695 4.566773
352.000000 789.000000 4.179384
803.841391 599.474482 5.133708
253.479240 586.068331 4.361278
903.483806 70.856304 4.170845
467.086846 312.647612 4.893792
331.153900 302.317247 5.117710
992.222078 587.814400 5.157323
519.643397 810.486040 4.567939
193.000000 825.000000 4.495340
285.537403 814.579031 3.675268
834.577092 576.665429 4.087613
321.089519 778.900835 4.572797
925.403164 765.417529 4.638494
209.290475 824.368144 5.342122
456.052759 302.587754 4.802433
778.391864 121.254938 4.979895
263.497768 576.000000 4.297770
643.433959 118.252326 5.393897
639.000000 587.000000 3.980651
587.279380 373.721793 4.521253
253.103075 524.000000 4.682502
598.000000 373.754624 4.810730
403.000000 821.521331 5.484561
544.858609 586.430935 4.114055
710.572506 352.212470 5.236780
944.000000 71.000000 4.650921
223.035481 534.349960 4.574211
74.123042 127.000000 5.282115
96.954364 575.812680 4.441534
253.462404 824.316867 4.231471
362.503823 375.000000 4.691590
363.922359 124.972851 5.775698
