# Removed overlapping spots
74.297412 127.000000 5.368321
808.000000 123.000000 5.027759
351.067200 122.399964 5.073836
138.583013 576.000000 4.900609
643.496900 117.718927 5.444562
893.000000 60.285153 4.819483
905.481397 352.501314 4.316863
384.017044 810.436104 4.802611
331.029878 302.269391 5.148289
325.000000 570.000000 5.135909
596.829143 808.000000 4.534551
862.000000 122.000000 3.508563
701.512586 575.613430 4.426456
407.000000 355.000000 5.576522
801.299791 786.418133 4.263326
928.965040 535.351925 5.852865
363.000000 124.601621 5.280769
274.586663 823.492718 4.356378
561.313937 117.669730 5.137288
408.704510 518.700089 5.183766
404.924112 810.000000 4.673199
607.465280 776.530454 3.554432
201.360714 310.333430 4.692020
405.000000 343.446969 4.781617
488.000000 759.000000 4.913575
803.783496 599.392325 4.801901
523.000000 569.797338 5.110513
264.000000 554.779219 4.820995
777.518095 133.221224 5.000286
263.000000 118.905093 5.317069
834.000000 311.639182 3.407347
180.505768 544.000000 4.433739
502.000000 538.707315 4.221036
310.066140 820.804866 4.754444
331.000000 768.156042 4.764792
628.000000 788.000000 4.398324
170.550460 524.499068 4.470681
898.000000 588.000000 5.480345
435.775197 768.120901 4.507916
181.000000 87.107295 5.068102
778.000000 121.000000 4.730475
565.565352 819.227298 4.196779
885.000000 291.631492 4.703213
851.842859 818.105556 4.925186
596.767077 787.000000 4.731895
925.451825 817.697160 4.625676
670.900553 311.060868 4.635562
376.994601 569.856738 4.922780
728.122190 76.211495 5.016678
976.404137 69.775578 3.936162
115.929157 372.000208 4.630219
586.000000 607.603663 4.337691
608.000000 554.366441 4.633823
792.587044 555.640843 4.752591
546.056783 544.055685 4.471720
701.175633 755.336522 5.479275
701.372692 808.101269 4.507707
927.654027 587.938661 4.659623
477.279647 810.439653 4.398910
690.725558 786.857651 4.521052
944.000000 122.558826 4.836529
286.710997 824.364014 4.285418
170.000000 119.000000 5.317285
435.769464 789.027540 4.388630
670.536078 586.436021 4.953858
863.723080 787.000000 4.719670
457.164904 323.227739 4.784266
875.567697 588.277294 4.705799
170.000000 554.718666 4.800815
586.499625 818.000000 4.657470
692.000000 554.406795 4.710354
630.000000 321.820534 5.277038
753.408699 819.000000 4.592523
894.656564 122.656699 5.418069
241.484962 351.000000 5.035306
780.237541 363.472643 4.885804
865.184802 322.768867 4.167561
876.552311 353.556466 5.340724
830.028256 80.587429 4.539478
670.401092 291.221127 3.678422
486.960285 292.280886 5.028430
223.000000 534.246431 4.220640
862.000000 81.063962 4.119688
201.797209 554.672697 4.864368
887.000000 556.112511 3.793996
374.000000 323.000000 4.869024
814.171553 556.285318 4.367977
702.650034 543.971364 4.879404
394.563451 324.000000 5.213134
792.000000 323.000000 4.669362
926.503753 787.150038 5.110539
856.000000 588.000000 4.596300
388.000000 528.538819 4.685120
670.588647 554.442937 4.814824
897.072546 566.766531 4.764839
884.534503 818.579266 4.563942
285.000000 544.000000 3.388797
470.000000 518.400984 5.096659
341.483465 821.000000 4.705042
722.300902 291.000000 4.799175
416.282887 71.038737 3.833100
564.583783 787.144347 4.256205
394.062506 343.181229 4.205223
87.209516 596.891386 5.319865
171.000000 825.000000 4.002798
916.286035 312.278484 4.881834
274.371114 576.000000 4.704202
373.327044 312.815607 4.589586
802.000000 587.918596 4.567903
241.474596 823.775670 5.330625
743.178623 576.053603 5.149701
648.893495 756.000000 4.427558
780.360450 870.345370 4.935073
128.119505 576.113348 4.153458
556.556256 554.101563 4.918500
311.490495 71.046884 3.776547
710.000000 352.382841 5.497387
618.212906 775.965851 4.437509
179.611280 320.621856 4.813488
212.327469 597.041150 4.634180
76.646406 544.000000 3.552101
253.307099 524.000000 4.684893
865.288279 302.000000 4.245159
555.472873 776.000000 3.745765
903.363328 81.388152 4.439383
446.364360 810.459907 4.265974
906.483286 290.731996 4.546935
722.925309 544.015973 4.877015
585.949060 776.444081 4.765577
712.606166 362.995001 4.826159
988.538065 765.000000 5.018542
435.000000 343.572046 4.437053
415.162702 312.619937 4.204516
681.000000 312.000000 4.109784
742.873337 818.585885 3.634626
819.000000 81.000000 4.204530
157.598685 361.318870 4.997186
865.133069 343.096917 4.016944
623.854291 106.876338 4.018586
519.117864 768.079652 4.428254
858.168057 535.000000 3.187990
916.298011 301.480916 4.371878
202.111820 585.468569 5.465392
97.069336 362.360803 4.867727
711.205289 776.453498 3.340764
331.024050 789.055923 4.836214
923.217019 92.000000 4.956027
408.557328 580.804436 4.881486
180.408445 117.502184 5.221113
519.501174 778.625661 3.638638
191.648816 77.389516 3.850873
320.731660 322.812741 4.789485
628.436257 829.511180 3.615589
566.766062 554.160837 3.590557
743.000000 776.000000 4.607037
988.932850 807.000000 4.319576
545.000000 787.000000 4.293399
629.240963 352.000000 4.874223
938.233952 312.248278 3.998799
617.446728 787.415035 4.766086
991.501716 525.000000 4.363690
754.259654 533.000000 5.468824
192.000000 544.988867 4.890543
363.000000 778.000000 4.812012
596.502112 608.000000 4.840159
822.663092 342.946425 4.484242
948.279682 312.275318 4.391399
263.430745 310.000000 3.866829
556.490081 352.070602 4.936370
490.282422 528.903492 4.171210
517.666505 821.282673 5.349142
985.997400 71.124564 4.862131
99.000000 835.247067 4.929853
345.384274 538.898369 5.010637
508.751429 333.172820 4.701289
403.938305 821.045228 4.793769
743.762929 533.531147 5.179989
107.255557 564.978335 4.675855
519.615427 810.614522 4.703952
634.000000 87.044834 5.111700
587.075297 373.598781 4.482527
723.343966 523.392482 5.147986
352.379898 810.478379 5.458433
383.589212 343.166285 4.758304
76.339816 814.565976 3.979678
470.692124 538.943728 4.752569
659.405459 787.564659 4.056466
665.564354 76.772536 4.963595
958.683295 536.183085 4.317277
404.558198 788.949356 4.488717
523.275324 538.802888 4.275424
671.230355 321.605707 4.406429
843.425317 342.498614 4.098154
854.226166 352.098933 4.758430
586.999899 321.243237 4.914174
755.219979 311.403127 5.149150
285.894485 596.402509 4.620701
876.429928 545.581101 4.391401
309.510131 344.050093 5.253636
356.467521 601.834847 4.326009
691.312065 818.912549 3.502768
946.962768 290.848804 3.934115
555.000000 597.597427 4.910113
223.113685 87.502625 4.901373
129.887188 845.000000 5.170192
362.799373 810.000000 4.489330
275.518185 117.849202 4.992906
481.547572 569.812345 4.018041
159.866136 597.045187 4.744515
460.874913 549.323824 5.114882
987.776860 122.578855 4.962341
669.638764 808.267849 5.030256
803.000000 556.045791 4.108846
415.000000 302.475276 3.895769
732.325915 576.000000 4.504963
650.262340 766.630127 3.430171
511.925184 528.728802 4.443679
980.676201 352.509045 5.154365
341.874894 343.465453 4.293883
191.126244 352.327010 4.941789
813.479219 608.931043 4.039505
179.450474 310.000000 4.985964
274.000000 596.465139 5.269817
456.798211 820.434541 4.654368
629.396248 544.140887 4.822967
853.796931 322.859203 4.503356
903.534193 70.716218 4.504887
499.000000 112.725029 3.285544
264.000000 351.535579 4.930433
310.000000 872.257630 4.491670
345.652948 559.487171 4.689902
367.193298 601.683016 4.999861
436.447105 123.000000 3.844127
882.334191 60.000000 4.662259
907.653407 535.152677 4.088546
923.646903 132.676867 3.606461
456.182487 800.000000 4.296280
949.000000 598.493985 3.712629
864.485399 817.734463 4.520552
602.850048 76.038611 5.076989
651.000000 534.000000 3.711630
721.543961 776.843850 4.561032
321.448393 778.959024 4.619413
439.373876 569.575694 5.264171
190.954516 793.398030 4.002209
660.344137 777.521377 5.055049
429.180391 518.895748 4.851403
372.894125 343.740477 4.351491
252.883783 544.590996 4.741697
477.572704 353.376179 5.184193
691.703823 321.558832 5.278823
179.397138 350.317715 4.837773
680.198817 787.468216 4.374067
576.000000 787.354734 4.478008
139.694446 55.375491 3.589670
732.175046 596.999486 3.772601
681.144953 290.829347 3.819431
285.536937 782.576603 3.366507
404.104251 312.355988 4.901281
449.583443 529.000000 3.552095
383.671074 323.457983 3.821991
148.983358 824.892805 4.144494
833.448929 921.514150 4.824973
913.216666 92.133425 4.199956
478.292924 81.918705 3.820409
331.422572 821.000000 4.125885
810.000000 818.000000 4.701348
76.284127 554.886770 4.687353
596.302699 818.543230 4.820830
670.000000 765.963345 3.788277
575.545568 776.438548 3.435522
834.722008 608.633119 4.518252
370.812606 820.192329 3.106848
781.122728 598.160264 4.762783
831.388991 817.791224 4.701072
969.571635 534.700186 4.263077
544.916549 321.605724 5.056322
639.594721 353.248103 5.271756
502.000000 529.072003 3.937245
356.010368 568.759487 4.492476
885.000000 312.000000 4.873184
384.000000 354.000000 3.935721
222.283420 128.000000 5.213841
680.337855 597.163360 4.279930
650.404196 322.166004 4.802121
659.693127 597.582798 3.851258
107.443274 781.554925 3.982299
545.226523 586.282560 4.336720
877.000000 525.395131 3.973606
212.783630 793.362639 4.333588
650.617288 544.000000 4.754487
809.491295 92.000000 3.914325
159.645308 341.000000 4.231076
332.355071 134.000000 4.964191
586.041954 786.809309 4.517835
896.486674 312.137858 4.942171
980.555167 545.517201 5.185689
315.284134 558.701028 3.510701
456.571222 768.034452 4.827595
171.341852 813.831940 4.206152
845.316753 546.559096 3.491891
440.000000 529.051273 3.489201
222.254067 575.996230 5.158455
519.235871 312.763241 4.659313
76.752103 564.678176 3.848978
991.532677 546.000000 4.475660
373.974710 91.885591 3.970227
362.465252 375.000000 4.705230
988.152754 859.340373 4.825198
405.000000 778.410289 4.598649
96.787498 824.317348 3.915679
201.409854 523.973369 3.312973
351.601365 312.532389 3.923246
728.446228 117.301128 4.697155
457.581602 92.146623 3.795416
497.975260 767.969189 4.095312
241.763274 524.075770 4.596434
713.082702 311.436700 5.340374
661.399795 342.000000 4.496385
456.752172 872.662525 4.372833
650.128721 818.957431 4.644348
690.268666 798.165046 3.757610
753.296105 776.631034 4.731834
682.152324 554.775473 4.662557
366.708120 538.000000 5.405528
108.049410 824.086828 3.481378
639.733444 554.054902 4.858139
897.500030 524.818700 4.341394
97.301125 771.000000 3.532345
501.397784 559.349642 3.595037
824.000000 545.474557 4.316054
344.599187 570.172609 5.165213
86.000000 320.000000 3.488465
341.000628 936.000000 3.777753
754.500234 342.538987 3.706947
446.000000 779.000000 4.404707
802.065693 321.950717 4.647187
885.474937 322.531003 3.516100
670.819184 533.706925 4.892693
480.642800 559.489352 4.243498
508.396482 301.899509 4.840779
460.418283 528.637512 5.229997
159.172767 555.631534 4.508424
907.122777 640.232781 4.105616
138.719784 813.981478 3.712331
586.700489 311.000000 3.542370
638.362487 787.096576 3.994530
670.264980 787.308467 4.210222
77.528921 782.000000 3.786057
675.700563 117.142956 4.612723
629.240051 291.075693 3.736309
97.096521 575.913969 4.495117
129.000000 586.618445 3.269592
362.000000 343.522490 3.833034
139.000000 804.000000 3.621674
498.000000 800.000000 4.234490
649.401011 787.580413 3.738665
938.829664 524.997285 4.226300
128.025487 139.086711 4.446863
801.716106 827.000000 3.531758
650.801115 353.057176 5.317211
756.000000 544.000000 3.508039
383.370006 313.551530 3.025890
