# Removed overlapping spots
771.000000 295.000000 8.970420
565.000000 737.262299 8.883303
820.000000 687.657717 8.642423
770.000000 246.546599 9.872089
718.103240 787.849499 7.477613
667.549539 737.288033 7.308918
668.801106 295.909273 7.511760
666.555777 786.733352 7.453110
874.000000 246.000000 7.278877
412.039366 696.546553 7.378922
771.930068 346.039378 9.212389
768.958284 688.191551 7.456566
359.643548 142.893623 7.210634
410.302434 242.000000 7.432955
720.116215 346.323752 7.545385
565.510487 686.055643 7.593834
615.960526 687.475435 7.417987
158.312525 695.912725 7.519270
768.181221 537.931414 7.770317
208.646724 696.037651 7.379016
718.094435 687.443537 7.576241
769.478101 588.440783 7.310897
717.940272 638.797623 7.325332
616.686717 786.110740 7.315993
870.924062 587.040039 7.317581
258.214110 193.063226 7.373246
207.427617 241.919003 7.538887
870.363555 487.639157 7.358316
309.008466 191.697904 7.576664
207.400110 43.565389 7.174026
259.208931 595.357579 7.644952
669.401724 45.000000 7.889564
819.571885 588.596737 7.166937
258.367609 242.259780 7.371603
821.952633 296.453148 7.375075
157.129296 92.095041 7.377391
409.769774 293.362928 7.881123
258.504988 292.043659 7.433936
210.115116 646.116485 7.279266
410.494762 194.000000 7.457921
822.555700 346.345728 7.553201
360.059626 92.991641 7.433448
616.194714 738.000000 7.451497
819.686939 786.723566 7.503497
409.844243 92.990681 7.689856
207.090132 92.481833 7.394675
873.232343 346.852053 7.619729
358.832487 43.598228 7.894196
871.128749 787.012258 7.480555
106.516990 340.999099 7.520012
157.552465 546.699677 7.293905
873.094493 195.978761 7.641597
768.788712 637.846156 7.605429
260.000000 695.000000 9.491147
717.999988 537.934094 7.503665
567.120767 345.413084 7.391135
618.052492 145.694653 7.206304
208.124357 545.867140 7.311263
159.027614 645.640887 7.502928
565.063925 588.065180 7.294536
308.502839 242.762881 7.368253
668.875580 195.663883 7.393528
717.777908 737.726339 7.400782
359.556187 193.300603 7.551211
822.359282 145.710139 7.542375
106.885170 241.996876 7.370305
308.140953 342.297442 7.530629
257.985496 342.708089 7.342099
771.069212 196.511770 7.560047
310.283664 696.367869 7.352406
207.157187 193.148223 7.335481
567.080978 46.237529 7.376839
106.851429 42.558516 7.308915
565.428525 636.455566 9.597521
309.920996 496.886886 7.340427
617.360708 245.350999 7.225369
157.104710 42.462189 7.521953
822.060569 195.574377 7.475221
107.295457 191.771730 7.398325
206.895846 342.181086 7.455990
666.764227 687.620256 7.613451
618.075135 345.156047 7.610690
567.177168 95.199804 7.391294
718.496219 589.177434 7.606961
666.824015 537.395927 7.442736
872.792136 45.424461 7.480927
720.973144 195.981454 7.678988
106.557792 92.728642 7.625262
567.502807 245.979413 7.493416
309.060186 142.650205 7.314611
615.574872 587.537678 7.475331
308.877513 291.659191 7.254319
410.001115 43.316153 7.647694
308.095637 92.973708 7.399809
156.966287 293.422586 7.224903
768.599164 787.267599 7.576323
108.144665 646.159515 7.443381
720.233026 46.401875 7.290573
259.750877 545.997784 7.302254
869.199415 538.889251 7.287587
410.127695 143.424059 7.929609
873.111155 296.733359 7.419070
669.268588 345.133794 7.379542
720.223143 146.301227 7.358090
107.000000 292.000000 8.133548
720.063784 246.102217 7.383637
209.085732 595.963220 7.268675
564.972036 786.749057 7.292502
361.162774 596.620799 7.365515
771.201941 46.849854 7.382724
768.897009 737.474142 7.258641
719.973546 296.379192 7.515371
309.880520 546.249301 7.218082
208.494990 497.110561 7.417131
359.779220 292.729593 7.233142
615.719128 637.086572 7.577333
669.246790 246.793954 7.293905
566.821953 195.376063 7.290706
308.699817 42.947077 7.476298
259.119155 495.925044 7.103009
158.270135 594.985093 7.332599
359.736100 342.701318 7.443822
822.008168 45.886409 7.256108
158.408952 496.003491 7.351031
360.684453 696.319196 7.564639
567.978867 145.013889 7.220886
257.552008 92.600357 7.338419
107.724046 545.763681 7.351579
819.826093 737.676430 7.598936
207.240368 142.924188 7.243568
618.120299 95.361141 7.276178
717.448858 486.637540 7.192023
207.134126 291.514097 7.326065
873.901215 145.268842 7.871410
819.792860 488.052790 7.199318
156.265944 242.296079 7.307328
257.882603 143.620846 7.676571
819.650583 537.889151 7.404881
820.214950 637.850794 7.368071
360.887073 546.661082 7.179945
157.079973 192.707707 7.380600
618.106202 295.561640 7.385079
617.781950 46.191846 7.611527
669.068798 144.901002 7.422139
666.433367 487.978634 7.314794
107.526696 142.247828 7.604055
258.047597 42.766346 7.187048
565.029282 486.983471 7.347988
615.711468 537.743271 7.489961
666.734062 587.831122 7.287076
360.306620 496.957219 7.144515
410.006505 342.987059 7.235954
667.015013 637.214879 7.281166
873.000000 95.000000 7.803607
156.580450 141.551528 7.459955
870.596611 687.561094 8.314441
411.519223 547.048398 7.306839
770.922310 146.370280 7.423533
669.588335 95.976373 7.638041
564.306993 538.378058 7.247516
822.497269 247.832979 9.754577
107.812283 595.922825 7.465858
411.196875 597.307460 7.376597
108.867077 696.197516 7.452245
567.454160 296.503466 9.210542
107.880236 496.257251 7.283540
871.474437 737.931280 7.422236
768.818830 488.323617 7.391097
870.635930 638.131856 7.421725
771.298385 95.727209 7.144515
156.130534 341.781426 7.238258
258.840592 647.003832 7.556881
411.185480 646.882163 7.103009
720.466672 96.698155 7.235833
359.774796 242.577335 7.294702
411.642843 496.980475 7.144515
822.404778 95.784746 7.144515
617.943295 196.060945 7.144515
310.849124 646.445307 7.384742
615.506082 488.951278 7.065019
361.109825 645.720875 7.303472
