# Removed overlapping spots
1813.492955 1383.475531 6.216144
1670.000000 1501.537734 6.551982
1387.014417 315.000000 6.668615
533.580056 486.431519 6.048529
700.078877 987.000000 6.055835
1218.949792 409.000000 6.881237
1525.642060 1384.000000 6.808184
1314.106547 535.490383 7.525098
558.555105 298.000000 6.051792
345.545642 1744.000000 6.129889
561.419000 1646.000000 5.981754
393.359431 1743.486475 6.172921
389.506231 461.479805 6.553243
1180.633819 1746.370386 6.128351
512.735557 1695.554827 6.443792
416.646365 1719.544122 6.134405
321.525422 1744.386900 5.968276
1361.057651 481.000000 6.259926
1720.471845 1031.528569 6.101923
1194.000000 561.000000 7.285879
440.000000 1744.000000 6.067961
1601.000000 814.141050 6.263185
416.153946 1743.344794 6.251013
1669.592918 1434.488099 6.726383
1669.382631 1269.000000 6.207381
1693.000000 1436.480613 6.738529
1386.836582 507.708826 6.162892
224.421823 882.553611 6.872735
1253.330358 1865.000000 6.465680
849.506658 1913.000000 6.493080
414.667300 371.025473 6.328197
746.869972 1337.343001 6.060070
508.466238 395.521694 6.832919
675.561507 1013.373833 6.354431
1630.495094 1885.502483 5.991660
1122.382414 583.655708 7.273843
1368.000000 1499.000000 6.404408
772.000000 1035.000000 6.266869
560.798760 1719.455316 5.836099
536.774537 1645.605487 5.907169
1121.467629 456.507269 6.230244
1385.410729 479.553568 6.980577
558.291881 419.514371 6.098665
963.039892 1196.000000 6.347955
1099.607176 861.000000 6.340237
732.574676 1811.000000 7.118897
818.439256 1504.891413 6.320920
699.764736 1337.388317 6.309151
488.000000 1031.503366 6.858168
1525.561534 1195.000000 6.352478
1341.368079 1030.453767 6.549376
720.600700 1195.502318 6.469439
1147.000000 583.000000 6.769769
1552.538989 906.491844 6.012370
795.981387 1411.000000 6.274995
515.923982 1431.000000 6.062567
652.349666 820.479551 6.149313
1129.433982 1264.000000 6.344030
392.915926 1696.619400 6.414694
225.584536 1695.526839 5.960735
1818.000000 1008.000000 6.291108
916.374087 1438.000000 6.332954
537.255036 1719.000000 6.013865
1789.506773 1357.000000 6.969650
1193.573348 536.096207 7.146675
658.000000 1914.000000 6.230207
1344.446085 1500.000000 6.114229
1670.033738 1383.210200 6.277950
1366.531371 1194.482060 6.541318
177.419356 1720.000000 5.873704
1416.479334 1288.453134 6.709391
488.946560 1694.694038 6.017040
795.467487 960.508262 6.651713
720.528649 561.000000 6.620308
1693.608584 1266.915823 6.131637
1559.323185 1909.501673 5.856593
1220.462862 1029.000000 6.172868
681.406369 1789.533695 6.315727
1316.074539 740.000000 6.613565
249.394493 930.631468 6.538506
1075.165726 905.000000 6.364066
1559.462058 1717.000000 6.333550
1071.628353 559.000000 7.346118
1372.399440 1647.499908 6.441484
1837.413961 1382.800901 6.257739
272.897981 1720.000000 6.470558
488.370014 883.000000 6.372937
1156.584065 1813.000000 6.120412
512.546510 1744.078022 5.953501
1410.000000 1029.579600 8.709408
651.276183 1464.159741 7.000428
1120.557714 559.000000 6.252232
1555.000000 930.519937 6.374739
1273.402506 1481.000000 6.364961
298.000000 1744.000000 6.234523
