# Removed overlapping spots
272.000000 271.355817 6.942735
841.440192 1436.000000 6.412047
411.413283 562.000000 6.108719
966.526837 1936.000000 6.049072
887.509253 1482.497977 6.045570
2002.493550 1484.075888 6.158041
1103.000000 586.000000 6.439532
629.583366 375.003013 6.329248
509.569434 1648.473352 6.510433
608.549185 1480.000000 6.187752
1170.520469 441.000000 7.048866
394.531081 1315.000000 6.447480
744.503665 390.498184 6.031219
1552.519382 368.332780 6.875577
960.000000 1198.000000 6.843920
318.687850 271.405780 6.550984
369.425854 1146.000000 6.541859
656.604799 1673.546331 6.301629
488.000000 1602.000000 6.122303
1318.677727 1269.000000 6.429816
1056.521770 1171.580902 6.722071
319.551184 1649.542310 6.078367
1318.860350 1457.000000 6.690826
388.489430 562.000000 6.280739
534.000000 1700.000000 6.121459
1478.000000 559.000000 7.121589
1906.642883 1483.000000 6.104030
1979.586199 1483.471499 6.097749
342.491340 1700.639625 6.226784
768.612270 1343.000000 6.448869
1788.960860 393.000000 5.949316
1195.471139 837.489525 6.441876
1201.000000 1603.000000 6.635018
2004.614634 1391.000000 7.690962
318.630764 1600.000000 6.029077
1272.000000 1935.493421 6.349474
1395.382328 1912.532060 6.432790
463.342177 1623.000000 5.905434
655.000000 1647.989166 5.962986
1739.552939 1482.000000 6.320229
630.488020 1623.000000 6.641520
271.876224 1820.000000 6.100492
841.511889 1293.401473 6.480840
1430.483848 581.496657 6.666383
317.526638 836.474814 6.673039
959.485362 582.639974 6.298742
607.430313 1844.492946 6.031531
1215.952242 558.851519 6.791490
1620.512147 1342.816546 6.320116
1562.442073 1845.000000 6.523612
816.000000 1462.000000 6.496670
1560.969375 1747.000000 6.284374
840.000000 1317.000000 6.335351
1388.537445 466.479683 6.523662
1407.885958 557.615507 6.783156
510.540023 1699.472981 6.317562
488.132926 1648.778960 6.157673
1440.849854 1480.555938 6.238431
486.848182 1723.072834 6.482749
771.494142 987.000000 6.244975
792.000000 391.573336 6.489329
437.628653 1700.401352 6.464092
1178.491165 1888.547712 6.502715
1553.487816 409.528950 6.195642
839.000000 583.000000 6.539862
1859.435308 1170.000000 6.502877
1359.573933 533.330648 6.727246
317.653553 939.000000 6.348283
1515.478644 1889.000000 5.928134
1192.510355 560.000000 6.976672
1860.000000 1392.499810 7.400023
727.000000 1821.471681 6.422896
719.596739 1461.000000 6.596187
984.000000 1460.491849 6.358387
2004.425596 468.422911 6.402515
486.820322 1674.485802 5.948207
1078.593842 492.000000 6.313406
366.609075 1700.000000 5.892739
1226.087386 1889.000000 6.389271
1440.543184 1745.607106 6.342913
1836.416785 1341.551666 6.611724
1465.750751 1625.000000 6.443847
1407.460696 464.518555 6.539918
562.189574 1456.440165 6.280429
1620.966994 1316.296705 6.528248
1361.492385 318.440207 7.019597
1103.425268 1486.000000 6.639014
841.000000 1418.000000 6.401939
2004.000000 1313.896365 6.351747
366.527451 887.000000 6.063861
608.000000 1604.490316 6.105572
990.000000 1676.000000 6.581718
1514.512595 1936.496687 6.205227
1980.000000 1367.000000 6.067693
654.549488 1699.364570 6.046132
576.928765 323.000000 6.233172
750.639651 1745.000000 6.051585
1388.000000 939.444155 6.462044
1386.349356 537.000000 6.426910
1178.647171 1744.719409 6.268041
1485.000000 1030.350594 7.007550
367.085187 1721.656569 6.104361
437.504036 1004.463191 6.111793
1437.811355 1219.000000 6.239681
1009.000000 1293.412453 6.913672
1692.521600 1395.000000 6.323568
1058.540138 866.000000 6.264569
1311.335207 559.000000 6.958129
1270.607636 1287.520305 6.373459
1312.085541 492.419283 7.657331
1463.337169 1481.016362 6.125345
558.041754 1698.850583 6.614375
605.543987 519.370532 6.052685
413.518746 1005.481732 6.680541
1030.554925 583.526023 6.629222
1417.453800 1625.000000 6.634395
576.429253 394.000000 6.246390
605.561546 494.587447 6.125948
653.000000 887.000000 6.581402
418.051861 1433.000000 6.215161
583.540144 1723.599624 6.661920
416.462808 1600.000000 6.140926
462.019668 1700.613464 6.723700
316.818426 717.442699 6.573381
1908.502195 1195.000000 6.628844
653.000000 297.659816 6.453773
629.549506 860.435498 6.568077
293.473169 743.486742 6.469782
265.217266 562.000000 6.088589
1242.446498 1028.484066 6.156054
1893.495572 1885.000000 6.410205
790.517445 562.521511 6.049665
390.581130 1649.453223 6.067170
1344.030690 1479.589255 6.034093
1269.412316 1478.579072 5.952478
1227.504854 1846.000000 6.369813
1931.626013 1291.587526 6.294058
437.000000 350.854637 6.663082
1106.492525 866.000000 6.050784
1274.349140 1651.467188 6.667187
1171.155722 1146.000000 5.951261
1550.733719 557.363436 6.344277
