# Removed overlapping spots
1383.000000 86.806761 5.579812
825.362262 1715.000000 5.376525
1369.000000 530.000000 7.217761
1322.387247 649.627450 5.704101
253.000000 526.000000 4.879085
413.000000 993.631001 5.177775
1715.118697 821.000000 5.463625
1325.000000 1494.000000 5.401549
162.000000 747.582355 5.729839
756.000000 1262.888038 6.441195
114.652749 851.675513 5.467837
416.192677 750.072668 5.032132
828.632638 1432.000000 4.880032
430.000000 979.000000 4.782782
398.000000 963.000000 4.837331
1309.000000 1493.000000 5.480080
1120.000000 1250.455583 5.678865
1275.356787 368.000000 5.398639
320.000000 1678.000000 5.823825
1334.000000 829.770232 6.545251
234.000000 993.000000 4.939978
1113.000000 113.000000 6.830670
1453.501202 458.000000 5.997757
770.000000 1131.000000 4.995107
740.000000 1086.000000 5.167841
1725.458761 69.978878 5.244358
1212.000000 248.000000 5.025265
815.715389 1132.000000 5.259531
69.000000 1111.000000 5.687473
796.657827 3505.630833 5.699829
1035.894923 352.432163 5.572327
81.000000 1156.000000 5.434099
116.000000 960.000000 5.050601
427.640772 1008.000000 6.757749
1141.000000 353.000000 5.222818
1712.000000 70.000000 6.013165
217.276145 1096.000000 5.499416
853.000000 438.269125 5.904494
1706.591346 1045.000000 6.084634
540.972446 435.000000 5.722366
461.030220 781.000360 4.954462
771.532005 1278.170180 5.959877
756.000000 1010.462568 4.970909
323.540962 1407.000000 5.214608
591.000000 1100.000000 5.354922
72.000000 959.535922 5.775353
1650.399629 98.460189 4.889381
1291.000000 86.634031 6.386493
861.518028 64.259655 5.483500
416.202765 780.492813 5.397270
1801.619748 100.000000 5.112559
247.532417 1302.000000 5.488589
1030.379410 967.620600 4.450295
1229.187525 353.836875 5.028106
293.170096 1421.246045 5.431852
661.239505 800.541683 5.201415
815.471603 79.250859 5.600432
1106.553616 1011.533621 4.921902
697.000000 1056.000000 5.051724
915.590805 1873.000000 4.532010
1784.000000 250.000000 5.435748
112.000000 1662.000000 6.167502
1806.000000 821.645599 4.980938
1289.345223 785.093487 6.401299
336.407722 1258.094087 5.692301
833.380124 1204.400325 5.568258
265.537814 646.397279 5.157062
386.000000 749.626559 5.387537
305.208198 1677.000000 6.327290
321.000000 1484.000000 6.077533
254.482341 286.000000 4.831078
1751.000000 1344.000000 6.107373
1314.000000 1104.000000 6.669203
662.942609 514.623492 5.229154
1154.000000 249.562893 4.904368
188.000000 1948.000000 5.379718
832.000000 1262.702684 6.120291
405.079441 318.437632 5.510543
1695.407714 84.359581 5.051893
282.000000 601.000000 5.069547
458.000000 995.000000 3.968098
1262.528613 100.304875 6.146426
1271.607667 998.000000 5.428353
69.383798 867.000000 5.356414
232.134788 1095.714841 5.899203
1215.626901 99.000000 5.183823
893.571686 1265.346607 5.690018
1722.290889 1088.891570 5.834634
411.509582 1531.000000 5.573892
410.360736 1725.193156 5.359329
478.000000 678.000000 4.477974
1761.000000 1867.353445 6.192223
87.503035 3321.000000 4.875132
1494.416180 546.000000 4.670591
337.000000 992.578045 4.888587
405.000000 423.000000 4.092254
785.773023 1263.020628 6.465616
1231.812279 100.447878 5.297393
1822.468287 823.000000 4.935521
1309.372283 1554.000000 6.057158
1571.000000 1447.000000 5.072975
