# Removed overlapping spots
163.411282 143.486821 5.373036
90.492781 524.466332 4.940863
588.000000 143.000000 5.423216
368.464154 168.510393 5.518317
764.478417 244.482660 4.796456
508.449237 841.454016 5.185060
332.446981 587.424693 5.183857
538.000000 917.000000 6.693392
171.676594 892.000000 5.038933
508.302634 308.000000 5.096752
361.000000 131.000000 5.406204
669.592306 663.324412 4.834323
339.278776 219.405773 5.162690
955.544528 981.000000 5.213477
119.636979 397.473459 5.607518
706.000000 244.583985 5.336892
743.000000 486.000000 5.335447
780.000000 676.000000 5.126927
867.000000 549.000000 5.511104
985.000000 295.545593 5.107989
266.629598 651.000000 4.781687
875.000000 435.000000 5.144662
567.000000 663.472326 5.025523
830.818850 358.828605 5.258145
391.467829 918.000000 5.144224
867.000000 168.000000 5.710574
464.579336 917.666871 5.238243
838.356074 854.000000 5.478864
105.000000 372.000000 5.228404
662.000000 346.000000 5.150927
479.139057 714.000000 5.033357
699.000000 435.000000 5.115508
164.000000 829.195607 5.313644
919.000000 206.311005 4.862692
259.749230 943.473774 5.265906
786.611006 232.000000 5.134394
618.000000 168.387280 5.437900
464.323722 638.356055 5.275066
480.000000 943.000000 5.232307
355.000000 829.417704 5.084684
669.000000 181.000000 5.291183
801.629101 968.208199 5.175293
860.000000 206.475210 5.130100
706.000000 574.563913 5.411017
486.000000 372.000000 5.133986
493.629013 384.000000 5.164432
376.434880 994.000000 5.164708
545.000000 549.000000 5.360713
955.234843 625.643248 5.355627
141.437569 155.700085 5.394234
449.000000 968.000000 4.382593
523.000000 943.000000 5.299420
119.716268 625.625962 5.327863
427.741237 803.256385 5.182866
281.000000 498.813441 5.381521
354.489633 676.566073 5.355820
654.578109 561.778839 5.162019
771.954370 435.000000 4.975401
808.616332 346.000000 5.250269
207.579542 194.000000 5.180034
566.584054 282.594134 4.960234
933.000000 993.000000 6.597320
640.000000 231.704139 5.276650
765.299745 904.614863 5.103924
391.000000 993.853090 5.109781
252.000000 879.844068 5.479554
537.000000 232.000000 5.393640
896.678641 650.569051 5.127431
926.150583 981.000000 5.105259
215.000000 587.490654 5.251160
508.286735 511.000000 5.081021
274.000000 664.000000 5.177702
494.000000 816.000000 5.232122
171.414862 867.000000 5.154096
32.000000 269.000000 5.777571
369.000000 956.000000 5.272507
882.000000 422.000000 5.295200
618.000000 955.705422 5.369808
596.000000 181.000000 5.267677
911.355633 473.000000 5.367854
230.000000 943.000000 4.558342
120.000000 803.000000 5.248271
611.405597 866.000000 5.629138
420.437447 511.254988 5.281735
296.000000 600.518161 5.711578
985.403477 244.000000 6.207196
522.659392 968.465656 4.788230
508.363627 460.439015 5.033465
244.709435 689.000000 5.335513
419.683339 130.812976 5.168320
706.000000 778.000000 4.904993
178.000000 625.794164 5.368978
112.702453 816.000000 5.071888
318.000000 765.198712 5.262047
398.000000 549.000000 5.226638
413.000000 803.000000 5.169965
544.780842 524.000000 4.951993
119.186696 194.000000 5.563793
662.000000 320.535791 4.881730
208.000000 803.000000 5.100759
54.000000 689.448758 5.154059
764.192416 168.492987 5.191572
515.392150 168.000000 5.096182
441.536707 219.270375 5.083387
852.000000 117.000000 5.130425
127.500658 791.000000 5.010376
164.000000 169.000000 5.153206
186.000000 435.517627 5.335222
589.000000 498.308002 5.361383
904.208701 638.000000 5.146569
398.000000 244.491709 5.092554
171.513937 943.341978 5.040586
500.628330 194.000000 5.109671
992.264273 714.000000 5.079805
134.588503 499.000000 5.133007
361.434246 410.000000 5.078540
105.000000 397.000000 5.377543
963.000000 282.567069 5.100319
589.000000 727.000000 5.120236
332.250448 257.502303 5.403869
83.348314 765.578770 5.359115
193.306310 752.679988 5.227197
728.478285 689.000000 5.215399
222.204386 626.000000 5.481078
383.826921 524.000000 5.109692
90.571096 955.785788 5.201021
493.432738 308.127344 5.067365
890.000000 436.000000 4.761679
142.242438 968.554376 5.055444
926.000000 422.382190 5.060553
596.000000 409.000000 5.202342
742.608972 435.258743 5.524486
860.396494 968.231891 5.064194
941.000000 879.369587 5.019191
677.000000 727.000000 5.113060
208.000000 499.000000 5.299970
859.589488 130.355474 5.138472
413.000000 650.826723 5.277187
574.000000 270.000000 5.069305
874.727163 613.000000 5.309642
808.781893 752.415314 5.021193
142.000000 511.000000 4.092103
427.617932 600.000000 5.056708
933.443285 333.659842 5.237258
948.461336 917.441687 4.901612
970.000000 295.463723 5.079986
251.640412 295.620049 5.293945
933.000000 587.000000 5.379108
186.000000 384.695837 5.212390
603.208920 371.577656 5.288649
860.375949 740.000000 4.983019
98.000000 308.388983 4.981771
699.000000 867.000000 5.030152
610.690938 612.611966 5.462978
251.843932 524.000000 5.020240
295.299579 168.630748 5.344424
824.000000 828.000000 4.841707
215.619365 867.000000 4.702206
933.335746 409.551098 5.270899
163.805153 499.000000 5.198304
266.487822 270.251544 5.157218
229.514046 155.791573 4.956882
787.000000 790.839526 4.973134
765.000000 117.605631 4.610789
266.357078 295.517275 5.450563
222.000000 117.579191 5.082087
281.000000 625.917991 5.399354
193.292222 651.000000 5.170705
193.000000 600.000000 5.383707
405.835759 663.567650 5.556433
618.545224 828.000000 5.324038
244.340564 232.416358 5.282368
479.000000 410.274962 5.037391
112.796731 257.000000 5.468867
427.400259 295.509418 5.350314
303.000000 537.000000 4.992485
486.444412 574.747894 5.221412
801.000000 206.655209 5.216668
969.669338 346.235420 5.222734
684.497400 917.382536 5.026636
457.000000 474.000000 5.251988
230.000000 791.000000 4.918438
780.000000 219.000000 4.445488
134.451388 625.450466 4.659662
574.455389 777.725185 5.304156
882.141423 955.000000 5.042869
449.699839 663.679910 5.339796
992.403067 994.000000 5.487996
676.784883 625.469639 5.284491
691.810493 955.000000 5.480565
479.000000 663.000000 4.943175
46.724177 879.729628 5.136886
317.355696 181.444361 5.361121
340.000000 803.348698 5.104040
882.310453 752.529820 5.074251
