# Removed overlapping spots
343.000000 993.000000 5.361242
819.442777 954.255074 5.330105
929.521282 687.639722 5.118923
159.000000 599.349621 5.196005
782.648502 611.444511 5.299328
672.682650 649.448875 5.493590
760.570668 598.612818 5.135909
548.000000 586.000000 5.304434
804.592009 319.485399 5.289744
826.488115 357.678111 5.140360
701.000000 420.000000 6.611971
723.676712 611.463071 5.554073
863.000000 648.915479 5.725780
958.000000 154.198723 5.440785
328.343613 637.250616 5.357035
826.765984 687.628183 5.013585
123.000000 789.844126 5.297359
951.480273 827.385142 5.275665
877.606159 395.713468 4.934870
804.767029 522.531889 5.322918
723.501700 230.504752 5.234551
789.621625 370.368383 5.189959
819.420863 573.403852 5.274902
357.000000 130.000000 4.288279
430.426655 154.567970 5.252501
540.000000 573.593585 5.657484
709.498794 687.486610 5.190636
240.000000 256.218917 5.083726
694.535854 560.645568 5.173141
401.000000 383.000000 5.070689
907.337414 471.629123 5.232660
570.000000 574.000000 5.486137
834.000000 852.608981 5.302163
34.693465 434.485423 5.508675
804.203412 243.237159 5.157138
885.447425 764.260708 5.064580
833.645388 192.388012 5.300310
724.000000 687.323839 5.546331
944.000000 865.152379 5.268979
680.592777 941.573492 5.295085
504.000000 586.000000 5.312102
716.386428 497.277238 5.163431
613.602267 344.690806 5.279244
431.000000 256.000000 5.164922
210.000000 154.578312 5.216019
746.000000 344.252364 6.440404
679.675537 484.551752 5.143569
430.438664 129.297477 5.228800
687.477138 954.000000 5.401951
438.000000 371.000000 5.390959
460.301344 992.600852 5.194047
855.476691 205.179211 5.215633
863.540844 954.170301 5.047222
210.539180 586.311797 5.434062
761.000000 904.000000 5.610089
945.000000 941.363780 5.343879
232.854744 421.418532 5.362690
811.396984 129.194241 5.095694
321.000000 472.167343 5.212809
930.000000 992.000000 5.317560
85.000000 193.000000 4.963827
364.360545 167.586146 5.287106
210.614859 383.000000 5.655665
225.620178 967.345452 5.084678
849.000000 777.000000 5.345938
746.416122 929.000000 5.153760
224.753739 179.674711 5.301500
313.213276 205.707687 5.110535
716.419447 243.240677 5.146491
276.597504 548.320489 5.360446
738.000000 281.186079 5.149487
856.000000 611.428861 5.248757
871.000000 713.000000 4.908681
174.000000 294.340575 5.129015
826.000000 408.286362 5.184496
461.000000 891.000000 5.215735
526.442778 878.356390 4.977158
959.214372 942.000000 5.242157
