# Removed overlapping spots
282.645472 867.432855 3.297187
391.000000 903.000000 3.482385
934.000000 255.000000 3.152676
202.399124 668.000000 3.406393
445.000000 849.000000 3.330885
889.000000 748.000000 3.340867
498.000000 523.641425 3.242739
492.000000 649.000000 3.347046
508.000000 859.000000 3.447409
130.000000 722.362670 3.240733
238.000000 877.000000 3.319306
480.000000 696.349599 3.222961
666.837551 896.000000 3.207066
274.000000 695.000000 3.308027
200.504675 127.635143 3.126543
175.000000 587.000000 3.378157
916.000000 94.000000 3.272794
364.000000 849.000000 3.189677
445.000000 650.369175 3.138454
506.837523 524.000000 3.256969
309.000000 560.000000 3.436524
230.332522 623.143706 3.266887
472.000000 650.336647 3.054284
942.493480 398.506520 3.278878
265.329948 902.574040 3.418800
363.000000 687.000000 3.174887
480.697835 686.000000 3.191712
481.000000 830.823108 3.568694
498.000000 740.000000 3.319306
556.236375 219.000000 3.172293
870.000000 537.000000 3.235006
418.000000 894.000000 3.160857
844.000000 93.000000 3.349046
147.000000 119.000000 3.296240
310.000000 333.000000 3.186810
247.000000 569.000000 3.167214
717.754624 174.636532 3.219981
436.319920 849.563889 3.232743
463.000000 713.353741 3.311672
102.699433 578.000000 3.398957
297.756882 109.332021 3.325285
516.928397 903.363381 3.238861
436.000000 650.773733 3.293546
166.000000 830.000000 3.229816
284.000000 695.000000 3.312343
310.000000 677.000000 3.307503
418.223396 903.000000 3.341741
600.524924 94.000000 3.371692
762.000000 147.606562 3.294911
943.000000 94.000000 3.319451
952.000000 94.000000 3.371692
121.000000 704.000000 3.363971
469.000000 378.000000 3.356552
355.137189 902.262917 3.250924
228.690625 578.000000 3.376377
852.000000 609.000000 3.275707
292.246795 668.134059 3.341531
481.000000 885.000000 3.147641
816.000000 111.000000 3.714699
173.634022 100.224867 3.334441
102.000000 501.000000 3.412749
925.075304 662.444809 3.302990
131.000000 624.000000 3.282996
345.000000 740.551429 3.356070
573.000000 327.000000 3.349846
799.000000 399.000000 3.110531
525.610436 705.000000 3.229816
971.000000 84.000000 3.627180
444.794480 542.000000 3.206123
471.661571 542.000000 3.323025
157.000000 605.000000 3.308526
418.000000 501.000000 3.250202
970.000000 264.000000 3.186771
300.000000 560.000000 3.309142
272.578918 704.174784 3.169888
655.382849 102.149515 3.248273
853.459321 92.961791 3.176443
963.747253 896.000000 3.409174
835.000000 94.000000 3.197850
346.357996 902.265290 3.312343
372.000000 902.000000 3.146079
825.000000 290.000000 3.146079
120.000000 881.000000 3.348250
120.668334 587.312290 3.197710
140.000000 623.000000 3.461967
183.306772 137.000000 3.191027
291.784110 606.000000 3.236969
390.000000 605.000000 3.337208
592.439139 201.000000 3.103909
497.000000 560.000000 4.362606
899.000000 175.000000 3.407097
111.892715 704.177768 3.181413
601.290455 156.000000 3.254335
129.396582 559.000000 3.255766
899.000000 93.277108 3.195905
157.000000 850.000000 3.485736
805.634722 746.000000 3.893590
227.709894 173.000000 3.128597
309.823560 785.000000 3.274188
489.000000 858.000000 3.347251
507.000000 501.681414 3.549254
637.000000 84.000000 3.394808
301.000000 892.000000 3.145688
211.000000 605.637311 3.220292
410.000000 579.152733 3.417811
451.000000 110.000000 4.154279
591.000000 291.000000 3.278878
826.000000 444.379101 3.278462
935.000000 878.000000 3.000000
945.000000 825.000000 3.297975
953.000000 84.000000 3.879099
203.000000 511.000000 3.260327
199.526195 118.465714 3.372795
